[0216/224201.275:INFO:CONSOLE(1)] "Long rAF frame-time", source: file:///C:/Program%20Files/Adobe/Adobe%20Photoshop%202020/Required/www-rich-tooltips/build/external.js (1)
[0217/083806.999:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0217/094746.787:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0217/094751.792:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0217/101530.986:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0217/101536.001:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0217/101541.017:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0217/101546.031:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0217/101551.052:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0217/101552.265:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0217/101553.929:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0217/101553.937:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0217/101554.383:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0217/101554.410:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0217/104112.577:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0217/112419.344:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0217/200618.433:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0217/200623.452:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0218/155601.850:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0218/155606.874:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0218/203012.844:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0218/203012.923:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0218/203017.853:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0218/203017.950:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0219/124918.899:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0219/124918.985:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0219/124919.104:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0219/124923.916:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0219/124923.995:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0219/124924.124:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0219/144927.080:ERROR:browser_gpu_channel_host_factory.cc(139)] Failed to launch GPU process.
